DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
02/05/2016,9:58,MANHATTAN,10016,40.7434737,-73.9767593,"(40.7434737, -73.9767593)",EAST 32 STREET                  ,2 AVENUE                        ,,0,0,0,0,0,0,0,0,Other Vehicular,Other Vehicular,,,,3383911,SMALL COM VEH(4 TIRES) ,LIVERY VEHICLE,,,
02/05/2016,9:56,BRONX,10473,40.8246325,-73.8556487,"(40.8246325, -73.8556487)",STORY AVENUE                    ,PUGSLEY AVENUE                  ,,0,0,0,0,0,0,0,0,Physical Disability,Physical Disability,,,,3384010,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
02/05/2016,9:55,,,40.7199541,-73.8088764,"(40.7199541, -73.8088764)",,,PARKING LOT AT 158-02 UNION TPKE        ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3384811,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
02/05/2016,9:55,BROOKLYN,11219,40.6314562,-73.9922469,"(40.6314562, -73.9922469)",53 STREET                       ,14 AVENUE                       ,,0,0,0,0,0,0,0,0,Unspecified,,,,,3384658,SPORT UTILITY / STATION WAGON,,,,
02/05/2016,9:50,BROOKLYN,11208,40.6563763,-73.8717879,"(40.6563763, -73.8717879)",ESSEX STREET                    ,VANDALIA AVENUE                 ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3384157,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
02/05/2016,9:50,BRONX,10466,40.8865596,-73.8301837,"(40.8865596, -73.8301837)",ROMBOUTS AVENUE                 ,CONNER STREET                   ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3384595,LARGE COM VEH(6 OR MORE TIRES),SPORT UTILITY / STATION WAGON,,,
02/05/2016,20:48,,,,,,,,P/L OF 154 MANSION AVENUE               ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3384911,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
02/05/2016,20:35,MANHATTAN,10017,40.7558709,-73.9728206,"(40.7558709, -73.9728206)",EAST 49 STREET                  ,LEXINGTON AVENUE                ,,0,0,0,0,0,0,0,0,Other Vehicular,Other Vehicular,,,,3384468,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
02/05/2016,20:30,BRONX,10451,40.8117235,-73.9281256,"(40.8117235, -73.9281256)",EAST 138 STREET                 ,RIDER AVENUE                    ,,1,0,0,0,1,0,0,0,Fatigued/Drowsy,Unspecified,,,,3384526,UNKNOWN,BICYCLE,,,
02/05/2016,20:30,QUEENS,11412,40.6916677,-73.7623859,"(40.6916677, -73.7623859)",FARMERS BOULEVARD               ,LINDEN BOULEVARD                ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3384360,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
02/05/2016,20:30,BROOKLYN,11210,40.6287507,-73.9511055,"(40.6287507, -73.9511055)",EAST 26 STREET                  ,AVENUE I                        ,,0,0,0,0,0,0,0,0,Animals Action,,,,,3385152,VAN,,,,
02/05/2016,20:28,QUEENS,11372,40.7495516,-73.8861679,"(40.7495516, -73.8861679)",37 AVENUE                       ,80 STREET                       ,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3384884,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
02/05/2016,20:25,BROOKLYN,11228,40.6140537,-74.0139066,"(40.6140537, -74.0139066)",86 STREET                       ,13 AVENUE                       ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3384114,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
02/05/2016,20:20,,,40.8361022,-73.9348702,"(40.8361022, -73.9348702)",,,,0,0,0,0,0,0,0,0,Traffic Control Disregarded,Unspecified,,,,3384516,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
02/05/2016,20:20,QUEENS,11103,40.7654813,-73.9136994,"(40.7654813, -73.9136994)",28 AVENUE                       ,STEINWAY STREET                 ,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3385387,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
02/05/2016,20:20,BROOKLYN,11235,40.5888283,-73.9464577,"(40.5888283, -73.9464577)",EAST 23 STREET                  ,AVENUE Z                        ,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3384638,PASSENGER VEHICLE,UNKNOWN,,,
02/05/2016,20:19,BRONX,10458,40.8695216,-73.8898927,"(40.8695216, -73.8898927)",EAST 198 STREET                 ,VALENTINE AVENUE                ,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,3384621,SPORT UTILITY / STATION WAGON,,,,
02/05/2016,20:17,MANHATTAN,10002,40.7224697,-73.9871351,"(40.7224697, -73.9871351)",LUDLOW STREET                   ,EAST HOUSTON STREET             ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3383887,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
02/05/2016,20:16,BROOKLYN,11226,40.6521704,-73.9614062,"(40.6521704, -73.9614062)",OCEAN AVENUE                    ,CATON AVENUE                    ,,2,0,1,0,1,0,0,0,Unspecified,,,,,3385151,SPORT UTILITY / STATION WAGON,,,,
